meeting_date,sentiment_score
1993-03-23,-0.10876003
1993-05-18,0.047143046
1993-07-07,-0.15267901
1993-08-17,-0.17066526
1993-09-21,-0.099325
1993-11-16,-0.18729407
1993-12-21,-0.072552145
1994-02-04,-0.22100283
1994-03-22,-0.1224511
1994-05-17,-0.03465921
1994-07-06,-0.11866396
1994-08-16,-0.09909016
1994-09-27,-0.121350735
1994-11-15,-0.1594145
1994-12-20,-0.1324625
1995-02-01,-0.07564428
1995-03-28,-0.1643695
1995-05-23,-0.09888336
1995-07-06,-0.041649524
1995-08-22,-0.029380234
1995-09-26,-0.08089778
1995-11-15,-0.17053872
1995-12-19,-0.12901106
1996-01-31,-0.16037306
1996-03-26,-0.09450076
1996-05-21,-0.021738652
1996-07-03,0.026293099
1996-08-20,-0.006311492
1996-09-24,0.07678044
1996-11-13,-0.1879772
1996-12-17,-0.07666001
1997-02-05,-0.1850076
1997-03-25,0.051432427
1997-05-20,0.04213244
1997-07-02,-0.13498917
1997-08-19,-0.17785664
1997-09-30,-0.030470759
1997-11-12,0.057266776
1997-12-16,-0.13509938
1998-02-04,-0.01046739
1998-03-31,-0.087287694
1998-05-19,-0.030798137
1998-07-01,-0.07797313
1998-08-18,-0.022264514
1998-09-29,-0.02399007
1998-11-17,0.092261665
1998-12-22,-0.11929277
1999-02-03,-0.1732413
1999-03-30,-0.14363727
1999-05-18,-0.21919078
1999-06-30,-0.033181816
1999-08-24,-0.0438596
1999-10-05,0.0376136
1999-11-16,-0.0982065
1999-12-21,-0.08255998
2000-02-02,-0.13599467
2000-03-21,-0.28190142
2000-05-16,-0.110322714
2000-06-28,-0.12476396
2000-08-22,-0.060689718
2000-10-03,-0.05562401
2000-11-15,0.00917969
2000-12-19,-0.05465883
2001-01-31,-0.18414405
2001-03-20,-0.2223595
2001-05-15,-0.2809746
2001-06-27,-0.12442982
2001-08-21,-0.10372743
2001-10-02,-0.28673983
2001-11-06,-0.17710099
2001-12-11,-0.14606324
2002-01-30,-0.19048995
2002-03-19,-0.0077285897
2002-05-07,-0.15083
2002-06-26,-0.23964556
2002-08-13,-0.13095656
2002-09-24,-0.150452
2002-11-06,-0.21407333
2002-12-10,-0.13139328
2003-01-29,-0.109317064
2003-03-18,-0.078092895
2003-05-06,-0.20740959
2003-06-25,-0.24175936
2003-08-12,-0.16404156
2003-09-16,-0.025487037
